,seeds,normal,student_id,computing_skills,data_skills
0,0.176526717203,1.49526204415,student_00,1.5,0.7
1,0.918652390519,2.64072789636,student_01,2.6,1.7
2,0.748340043074,1.38494855329,student_02,1.4,0.5
3,0.451757378547,1.18981277009,student_03,1.2,0.4
4,0.788140086887,0.697400727888,student_04,0.7,0.0
5,0.484355770517,1.65169524122,student_05,1.7,0.9
6,0.557074506203,2.73282934535,student_06,2.7,2.4
7,0.06921871289,1.60060253081,student_07,1.6,0.8
8,0.740423131097,1.77255002871,student_08,1.8,1.4
9,0.20358349132,2.10290890546,student_09,2.1,1.7
10,0.489064576882,1.77213231048,student_10,1.8,1.3
11,0.419816070688,2.28992607704,student_11,2.3,1.7
12,0.969334489671,1.0581757535,student_12,1.1,0.7
13,0.0418234969491,2.93539682404,student_13,2.9,2.1
14,0.0453454528754,1.97157813918,student_14,2.0,1.4
15,0.103270109596,2.23386740585,student_15,2.2,1.3
16,0.129826888144,2.51318588317,student_16,2.5,1.6
17,0.273854859457,2.69045894914,student_17,2.7,2.0
18,0.514517994306,1.79298515343,student_18,1.8,1.8
19,0.439872810036,1.83463690795,student_19,1.8,1.2
20,0.0504513522526,3.00935454522,student_20,3.0,2.4
21,0.338770277614,2.27272657585,student_21,2.3,2.3
22,0.360950164997,2.13024755561,student_22,2.1,1.2
23,0.806966876173,1.02785300621,student_23,1.0,0.8
24,0.972190665504,1.47549401213,student_24,1.5,1.1
25,0.635425626952,1.75374888521,student_25,1.8,1.3
26,0.7402780665,1.79380824396,student_26,1.8,0.8
27,0.82489140095,2.63150317344,student_27,2.6,1.7
28,0.367231227204,2.48541877756,student_28,2.5,2.2
29,0.922231942948,2.41542279185,student_29,2.4,2.2
30,0.526728958305,2.19810533876,student_30,2.2,1.8
31,0.109181162387,2.00493293454,student_31,2.0,1.8
32,0.825600273779,2.67958879719,student_32,2.7,2.3
33,0.240608421952,1.92444910349,student_33,1.9,1.6
34,0.350714660735,2.3023987223,student_34,2.3,2.0
35,0.590676572367,0.967806064984,student_35,1.0,0.8
36,0.825724269557,3.74621437252,student_36,3.7,3.4
37,0.614237936187,1.65624978234,student_37,1.7,0.9
38,0.331720716315,2.21473119226,student_38,2.2,1.6
39,0.350378717458,3.16067635706,student_39,3.2,2.6
